Sub-Category,Elasticity,CI_Lower,CI_Upper,P_Value,N,R_Squared,Elasticity_Label
Accessories,0.009509797469716558,-0.03072561263316162,0.049745207572594735,0.6431886218419635,775,0.007775172641072303,No modeled volume decline
Appliances,0.00511352602116678,-0.040042058928131716,0.05026911097046528,0.8243520351322688,466,0.006622440705320809,No modeled volume decline
Art,0.008717990164315105,-0.035921297712869116,0.053357278041499326,0.7018842186759013,796,0.0059352144714197586,No modeled volume decline
Binders,0.0015126109470012276,-0.02062036818969322,0.023645590083695676,0.8934438834826539,1523,0.0030692040166189205,No modeled volume decline
Bookcases,0.0034171123608712772,-0.13525030419458178,0.14208452891632434,0.9614784135518967,228,0.035184871003181684,No modeled volume decline
Chairs,0.0007359942723144158,-0.06933013237489669,0.07080212091952551,0.98357430336088,617,0.005937081599777572,No modeled volume decline
Copiers,0.10856603404304357,-0.06702368026749869,0.2841557483535858,0.22557608136127483,68,0.04266945446490489,No modeled volume decline
Envelopes,-0.006302632904325993,-0.07269863476166769,0.0600933689530157,0.8524060551167754,254,0.004045617952919467,Modeled volume decline
Fasteners,0.08199391181972676,-0.059392292393831814,0.22338011603328534,0.2556891100785833,217,0.04762011612577255,No modeled volume decline
Furnishings,-0.018873852434543543,-0.052061802697259726,0.01431409782817264,0.2650117731364723,957,0.004385340844375585,Modeled volume decline
Labels,0.06788423624060946,-0.015154761623496563,0.15092323410471548,0.10909654738408794,364,0.024685041825561305,No modeled volume decline
Machines,0.005455469115345376,-0.08416405675031806,0.09507499498100881,0.9050296078315747,115,0.06575191147573745,No modeled volume decline
Paper,-0.014042994575523616,-0.050521088057685536,0.0224350989066383,0.4505318984955068,1370,0.0010329223765709328,Modeled volume decline
Phones,-0.005010613121634765,-0.04150838047225422,0.031487154228984696,0.7878722949090201,889,0.006714960850759399,Modeled volume decline
Storage,0.026168997230101028,-0.00854008990427662,0.060878084364478675,0.13948289439358522,846,0.010037877092145875,No modeled volume decline
Supplies,0.018284766048465063,-0.036114285941046584,0.0726838180379767,0.51003143887614,190,0.010694008407478361,No modeled volume decline
Tables,0.004023031379665431,-0.10893423820518133,0.1169803009645122,0.9443487659289987,319,0.030697511368572017,No modeled volume decline
